transaction_id,transaction_date,card_number,card_type,merchant_name,merchant_category,merchant_state,merchant_city,transaction_status,transaction_amount,merchant_category_code,fraud_flag,cardholder_name,items,prices
EYUHFY-2RGF-VQ4KOZ,2023-03-04 21:26,4383073029393069,visa,Subway,Fast Food,Idaho,Nampa,Declined,6.59,MCC 5814,0,Garrett Snyder,['Italian BMT'],[6.59]
JC079I-DEAU-WWO078,2023-04-16 05:17,4110405598529451,visa,Subway,Fast Food,Alabama,Birmingham,Pending,6.59,MCC 5814,0,Joseph Khan,['Italian BMT'],[6.59]
WPYT6H-QYDC-NYSRJG,2023-03-13 20:15,4695321097352621,visa,Subway,Fast Food,Alabama,Birmingham,Declined,6.59,MCC 5814,0,Kelsey Barron,['Italian BMT'],[6.59]
1LREPN-4DQI-YAUOIE,2023-03-16 23:56,4801442371060945,visa,Subway,Fast Food,New Jersey,Jersey City,Pending,6.59,MCC 5814,0,Justin Carney,['Italian BMT'],[6.59]
1Y5OZ9-FMDF-8CSNLK,2023-06-30 22:37,4904215156937933,visa,Subway,Fast Food,Kentucky,Lexington,Declined,6.59,MCC 5814,0,Thomas Scott,['Italian BMT'],[6.59]
8N54J8-XO16-CUGGKZ,2023-05-07 16:55,4112926683836160,visa,Subway,Fast Food,Montana,Missoula,Pending,6.59,MCC 5814,0,Kelsey Barron,['Italian BMT'],[6.59]
1XNK61-C9SX-SWQGOA,2023-03-25 12:58,4963018001858116,visa,Subway,Fast Food,Ohio,Cleveland,Pending,6.59,MCC 5814,0,Alicia Reese,['Italian BMT'],[6.59]
TI8EIF-CE7I-DWRRES,2023-05-28 18:21,4579538119708636,visa,Subway,Fast Food,North Carolina,Raleigh,Successful,6.59,MCC 5814,0,Garrett Snyder,['Italian BMT'],[6.59]
4LTGQQ-63T0-UP4GGR,2023-06-22 13:27,4274870699850373,visa,Subway,Fast Food,South Carolina,North Charleston,Declined,6.59,MCC 5814,0,Anthony Mcbride,['Italian BMT'],[6.59]
HKK68P-V1BF-QPKWYH,2023-01-08 18:58,4178317291578215,visa,Subway,Fast Food,Kentucky,Louisville,Declined,6.59,MCC 5814,0,Joshua Reynolds,['Italian BMT'],[6.59]
1G82HV-UC56-O2RJNC,2023-02-12 21:37,4881473374261134,visa,Subway,Fast Food,Nebraska,Lincoln,Pending,6.59,MCC 5814,0,Robin Johnson,['Italian BMT'],[6.59]
4J5OTJ-F4G9-J8LKJF,2023-03-06 12:51,4297406831641132,visa,Subway,Fast Food,Arkansas,Fort Smith,Pending,6.59,MCC 5814,0,Charles Warren,['Italian BMT'],[6.59]
RFUXPD-8TVL-8I6FB6,2023-05-11 09:26,4479330524157521,visa,Subway,Fast Food,Wisconsin,Milwaukee,Pending,6.59,MCC 5814,0,Melvin Crawford,['Italian BMT'],[6.59]
W21C3O-FRAM-COUNA8,2023-03-07 11:07,4015296036359460,visa,Subway,Fast Food,South Dakota,Rapid City,Successful,6.59,MCC 5814,0,Matthew Mitchell,['Italian BMT'],[6.59]
KZMULT-WM4E-W5I972,2023-06-17 23:31,4156710583067671,visa,Subway,Fast Food,New Jersey,Newark,Declined,6.59,MCC 5814,0,Karen Brown,['Italian BMT'],[6.59]
0VS4BV-RMOT-UEB14Z,2023-05-31 05:42,4966089645127827,visa,Subway,Fast Food,Kansas,Wichita,Successful,6.59,MCC 5814,0,Kristine Thomas,['Italian BMT'],[6.59]
SQ8FJL-SVY0-RSA2CK,2023-01-21 10:32,4488366514873338,visa,Subway,Fast Food,Colorado,Denver,Successful,6.59,MCC 5814,0,Matthew Brown,['Italian BMT'],[6.59]
PS88ZR-LM36-I02UQ4,2023-04-21 20:21,4576041094296936,visa,Subway,Fast Food,Utah,West Valley City,Declined,6.59,MCC 5814,0,Courtney Collier,['Italian BMT'],[6.59]
ZO3KCQ-YKRS-HYWZNI,2023-01-30 23:13,4191328102436066,visa,Subway,Fast Food,Wisconsin,Madison,Successful,6.59,MCC 5814,0,Matthew Mitchell,['Italian BMT'],[6.59]
X9IKED-MHOR-ORXRTX,2023-03-06 17:54,4286556181629310,visa,Subway,Fast Food,Ohio,Cleveland,Pending,13.08,MCC 5814,0,Robin Johnson,"['Italian BMT', 'Oven Roasted Chicken']","[6.59, 6.49]"
XZMO6U-0IO9-9MNF5Y,2023-05-25 08:05,4444786284861168,visa,Subway,Fast Food,Wisconsin,Milwaukee,Declined,6.59,MCC 5814,0,Jessica White,['Italian BMT'],[6.59]
S4UVPA-0LJR-XSYZO2,2023-05-03 17:52,4528181492835221,visa,Subway,Fast Food,Hawaii,Pearl City,Successful,6.59,MCC 5814,0,Justin Francis,['Italian BMT'],[6.59]
448G2K-J4Y7-KKFGFD,2023-04-08 07:54,4028456313160370,visa,Subway,Fast Food,South Carolina,North Charleston,Declined,6.59,MCC 5814,0,Edwin Williams,['Italian BMT'],[6.59]
N2TNT4-9616-L4ESDT,2023-04-06 05:03,4060455374714298,visa,Subway,Fast Food,Pennsylvania,Pittsburgh,Declined,6.59,MCC 5814,0,James Watson,['Italian BMT'],[6.59]
WBWOVE-U36T-9O6I5N,2023-02-14 19:51,4169410022575864,visa,Subway,Fast Food,Vermont,Burlington,Pending,6.59,MCC 5814,0,Courtney Collier,['Italian BMT'],[6.59]
CBDAVD-L7ES-Z69X4H,2023-06-27 20:49,4786882912565648,visa,Subway,Fast Food,New Mexico,Albuquerque,Declined,6.59,MCC 5814,0,James Watson,['Italian BMT'],[6.59]
EPKPD2-66V2-KSE35Q,2023-03-14 21:12,4168983771539423,visa,Subway,Fast Food,Arizona,Phoenix,Pending,6.59,MCC 5814,0,Vicki Hanson,['Italian BMT'],[6.59]
4SAN1H-Y2B0-UFD8UA,2023-03-01 23:43,4934462105396506,visa,Subway,Fast Food,Utah,Salt Lake City,Pending,6.59,MCC 5814,0,Jean Cortez,['Italian BMT'],[6.59]
5O9XQ3-LP24-1XDZRB,2023-04-03 16:07,4243094611160401,visa,Subway,Fast Food,Idaho,Boise City,Successful,6.59,MCC 5814,0,Regina Roberts,['Italian BMT'],[6.59]
BQBC5N-074S-R7LV61,2023-04-04 23:33,4902064611457323,visa,Subway,Fast Food,Virginia,Norfolk,Pending,6.59,MCC 5814,0,Edwin Williams,['Italian BMT'],[6.59]
OK5UJS-G4VB-TLXEFK,2023-01-21 09:27,4478400841134767,visa,Subway,Fast Food,Illinois,Chicago,Declined,13.08,MCC 5814,0,Eric Campos,"['Italian BMT', 'Oven Roasted Chicken']","[6.59, 6.49]"
9WKMLT-0DT1-Q5YI38,2023-06-09 23:50,4649833960093931,visa,Subway,Fast Food,North Carolina,Charlotte,Declined,6.59,MCC 5814,0,Christine Bennett DDS,['Italian BMT'],[6.59]
YQ9FXG-24WL-M6Y58P,2023-01-11 19:47,4314049907956320,visa,Subway,Fast Food,Alaska,Anchorage,Declined,6.59,MCC 5814,0,Kirk Johnson,['Italian BMT'],[6.59]
PYCKP4-RHBP-8GYBIX,2023-04-12 21:04,4134765053517057,visa,Subway,Fast Food,North Carolina,Charlotte,Declined,13.08,MCC 5814,0,Kimberly Owens,"['Italian BMT', 'Oven Roasted Chicken']","[6.59, 6.49]"
M51DZW-HIJJ-IG3N1D,2023-05-01 05:23,4435953460104158,visa,Subway,Fast Food,North Carolina,Charlotte,Declined,6.59,MCC 5814,0,Kelsey Barron,['Italian BMT'],[6.59]
N9IHJY-GWXB-ERT2O7,2023-04-30 17:59,4470416355720609,visa,Subway,Fast Food,Indiana,Fort Wayne,Pending,13.08,MCC 5814,0,Courtney Collier,"['Italian BMT', 'Oven Roasted Chicken']","[6.59, 6.49]"
6XWFIG-YNY4-XEVIFI,2023-04-07 22:40,4045447312235270,visa,Subway,Fast Food,South Carolina,Columbia,Pending,6.59,MCC 5814,0,Richard Stewart,['Italian BMT'],[6.59]
EK7TJC-OYZD-FN40MF,2023-05-18 23:31,4941744590244023,visa,Subway,Fast Food,Ohio,Columbus,Pending,13.08,MCC 5814,0,Andrea Reid,"['Italian BMT', 'Oven Roasted Chicken']","[6.59, 6.49]"
N3TYM3-QIIK-IFHRPH,2023-01-26 18:21,4420277512484872,visa,Subway,Fast Food,Wyoming,Cheyenne,Pending,6.59,MCC 5814,0,Andrea Reid,['Italian BMT'],[6.59]
6LTVW9-TGZA-JRR6ZB,2023-02-12 19:54,4073908828485829,visa,Subway,Fast Food,Arizona,Phoenix,Pending,6.59,MCC 5814,0,Courtney Collier,['Italian BMT'],[6.59]
XKZKTG-X32V-KHV7MT,2023-03-26 15:17,4327635541479953,visa,Subway,Fast Food,Nevada,Henderson,Successful,6.59,MCC 5814,0,Lauren Griffin,['Italian BMT'],[6.59]
PVI9VF-6AQA-2OKSAK,2023-05-29 18:43,4536987949500709,visa,Subway,Fast Food,Florida,Miami,Successful,19.07,MCC 5814,1,Joshua Erickson,"['Italian BMT', 'Oven Roasted Chicken', 'Meatball Marinara']","[6.59, 6.49, 5.99]"
UZMEUP-02A3-AXKDZO,2023-04-28 12:55,4316095355167033,visa,Subway,Fast Food,Idaho,Nampa,Pending,6.59,MCC 5814,0,Kimberly Owens,['Italian BMT'],[6.59]
NWVJJD-Y8QS-8EG40Z,2023-02-23 11:13,4895741535585300,visa,Subway,Fast Food,New Hampshire,Nashua,Declined,6.59,MCC 5814,0,Timothy Bridges,['Italian BMT'],[6.59]
L4GRZ6-AUR6-YAUS23,2023-06-29 19:44,4947224758996494,visa,Subway,Fast Food,Hawaii,Pearl City,Pending,6.59,MCC 5814,0,Joshua Erickson,['Italian BMT'],[6.59]
ZPJJRT-NCFK-Q8QSL7,2023-01-06 15:21,4383590027704997,visa,Subway,Fast Food,Montana,Billings,Declined,6.59,MCC 5814,0,Courtney Bailey,['Italian BMT'],[6.59]
IGEYZB-7K7F-TVWF9B,2023-04-03 21:06,4325784789898045,visa,Subway,Fast Food,Massachusetts,Worcester,Pending,13.08,MCC 5814,0,Edwin Williams,"['Italian BMT', 'Oven Roasted Chicken']","[6.59, 6.49]"
7T8SGB-C8O1-LW1AF9,2023-04-11 20:11,4773935666852466,visa,Subway,Fast Food,Utah,West Valley City,Pending,6.59,MCC 5814,0,Robin Johnson,['Italian BMT'],[6.59]
2HYVXU-5BEK-UNY5FF,2023-02-13 17:33,4775294070840198,visa,Subway,Fast Food,Kentucky,Louisville,Declined,6.59,MCC 5814,0,Amy Craig,['Italian BMT'],[6.59]
KLILDY-EKYP-FB4T6B,2023-01-11 15:22,4960646785630591,visa,Subway,Fast Food,Michigan,Detroit,Pending,6.59,MCC 5814,0,Jaime Young,['Italian BMT'],[6.59]
T2QLMH-YDL2-RVBXG0,2023-03-01 19:38,4429129864588225,visa,Subway,Fast Food,New Mexico,Albuquerque,Successful,6.59,MCC 5814,0,Jean Cortez,['Italian BMT'],[6.59]
HENOMZ-MTT0-W15FZ8,2023-03-14 23:10,4624869593255330,visa,Subway,Fast Food,New York,New York,Declined,13.08,MCC 5814,0,Melvin Crawford,"['Italian BMT', 'Oven Roasted Chicken']","[6.59, 6.49]"
M862YE-9UV3-FBX9EM,2023-05-17 20:06,4812923669080015,visa,Subway,Fast Food,South Dakota,Rapid City,Successful,6.59,MCC 5814,0,Aaron Mcintyre,['Italian BMT'],[6.59]
3WODDM-TEXH-OJZGAA,2023-02-04 05:11,4537895430600301,visa,Subway,Fast Food,Florida,Jacksonville,Declined,6.59,MCC 5814,0,Joe Jones,['Italian BMT'],[6.59]
H05OKB-D73A-79O1RI,2023-06-29 13:16,4284790523757313,visa,Subway,Fast Food,Wisconsin,Madison,Successful,6.59,MCC 5814,0,Justin Francis,['Italian BMT'],[6.59]
JRQS54-ADHU-VC6YLI,2023-02-26 10:37,4058723062047634,visa,Subway,Fast Food,New Hampshire,Nashua,Successful,6.59,MCC 5814,0,Jessica White,['Italian BMT'],[6.59]
9J4L0L-TQ9T-UX8EMI,2023-02-23 10:25,4085549450657297,visa,Subway,Fast Food,Connecticut,New Haven,Pending,6.59,MCC 5814,0,Kirk Johnson,['Italian BMT'],[6.59]
2MN3N2-2XN2-ZCUUQA,2023-02-17 14:56,4504246768602221,visa,Subway,Fast Food,Wyoming,Cheyenne,Successful,6.59,MCC 5814,0,Timothy Bridges,['Italian BMT'],[6.59]
IJI5W2-GE2T-5DMCYC,2023-04-23 19:44,4118420333459734,visa,Subway,Fast Food,Colorado,Colorado Springs,Declined,6.59,MCC 5814,0,Jessica White,['Italian BMT'],[6.59]
S0H8AS-QZ2S-D3JDQH,2023-02-11 09:27,4201986226796000,visa,Subway,Fast Food,Delaware,Dover,Successful,6.59,MCC 5814,0,Ronald Gilbert,['Italian BMT'],[6.59]
M020LN-GEU9-RWEQR7,2023-02-09 19:26,4401024043672630,visa,Subway,Fast Food,Nevada,Las Vegas,Pending,6.59,MCC 5814,0,Mr. Eduardo Ford,['Italian BMT'],[6.59]
YRJZ7E-HA8D-B590ZX,2023-01-25 14:56,4767197507246345,visa,Subway,Fast Food,Kentucky,Louisville,Declined,6.59,MCC 5814,0,Michael Zamora,['Italian BMT'],[6.59]
C32KC5-RYSQ-74OCG7,2023-05-30 21:17,4055051754648284,visa,Subway,Fast Food,Texas,Houston,Successful,26.06,MCC 5814,0,Timothy Bridges,"['Italian BMT', 'Oven Roasted Chicken', 'Meatball Marinara', 'Subway Club']","[6.59, 6.49, 5.99, 6.99]"
75ZNRF-T1PK-O53GIR,2023-01-20 18:23,4583618310652025,visa,Subway,Fast Food,California,San Diego,Successful,32.050000000000004,MCC 5814,0,Anthony Mcbride,"['Italian BMT', 'Oven Roasted Chicken', 'Meatball Marinara', 'Subway Club', 'Turkey Breast']","[6.59, 6.49, 5.99, 6.99, 5.99]"
CY62PV-PTLQ-VEUYNO,2023-06-12 08:04,4225734097026053,visa,Subway,Fast Food,Wyoming,Cheyenne,Declined,6.59,MCC 5814,0,Vicki Hanson,['Italian BMT'],[6.59]
SR72IK-5M7E-EU2KJL,2023-06-06 22:13,4246964883787635,visa,Subway,Fast Food,Ohio,Cleveland,Pending,6.59,MCC 5814,0,Jean Cortez,['Italian BMT'],[6.59]
G9W610-IACG-87CE1W,2023-04-08 05:48,4838585009546672,visa,Subway,Fast Food,Idaho,Boise City,Successful,6.59,MCC 5814,0,Vicki Hanson,['Italian BMT'],[6.59]
BXTQPW-5YIP-A8VJ5G,2023-04-03 19:52,4834354268986838,visa,Subway,Fast Food,New Hampshire,Nashua,Successful,6.59,MCC 5814,0,Aaron Mcintyre,['Italian BMT'],[6.59]
TO1RRV-C0SH-238B99,2023-04-27 06:00,4794005162483540,visa,Subway,Fast Food,Missouri,Kansas City,Successful,6.59,MCC 5814,0,Sharon Gross,['Italian BMT'],[6.59]
B2OIN5-N236-0OLROB,2023-04-18 22:05,4517128037452585,visa,Subway,Fast Food,Arkansas,Fort Smith,Pending,6.59,MCC 5814,0,Patricia Mendoza,['Italian BMT'],[6.59]
5UOED2-0S6D-SEAF5T,2023-04-20 17:47,4727702930318600,visa,Subway,Fast Food,Massachusetts,Boston,Declined,6.59,MCC 5814,0,Patricia Mendoza,['Italian BMT'],[6.59]
WRUYYA-J1AM-RRDCMK,2023-03-16 11:09,4491861191281867,visa,Subway,Fast Food,Florida,Miami,Declined,13.08,MCC 5814,1,Thomas Scott,"['Italian BMT', 'Oven Roasted Chicken']","[6.59, 6.49]"
17Z30R-T6ON-SCRS7G,2023-03-14 08:46,4729153957828014,visa,Subway,Fast Food,Maryland,Baltimore,Successful,6.59,MCC 5814,0,Sara Reese,['Italian BMT'],[6.59]
R4DUQL-FHDZ-8UFXO9,2023-04-17 05:43,4222906040576888,visa,Subway,Fast Food,Virginia,Virginia Beach,Pending,6.59,MCC 5814,0,John Carrillo,['Italian BMT'],[6.59]
Z05305-OEKG-1IR220,2023-02-23 07:28,4287644287348180,visa,Subway,Fast Food,Michigan,Detroit,Pending,6.59,MCC 5814,0,Edwin Williams,['Italian BMT'],[6.59]
FWUKH2-SRRD-XOB3AK,2023-03-18 21:00,4543724474151785,visa,Subway,Fast Food,Washington,Spokane,Successful,13.08,MCC 5814,0,Roberta Evans,"['Italian BMT', 'Oven Roasted Chicken']","[6.59, 6.49]"
1FBEWX-BFH7-1HUS73,2023-06-03 10:32,4980001825155173,visa,Subway,Fast Food,Utah,West Valley City,Pending,6.59,MCC 5814,0,Courtney Bailey,['Italian BMT'],[6.59]
OZVNG6-W7KX-LANJP3,2023-01-24 20:21,4990457118386602,visa,Subway,Fast Food,Iowa,Des Moines,Successful,6.59,MCC 5814,0,Justin Carney,['Italian BMT'],[6.59]
X821V0-6I3H-M7Z135,2023-05-16 20:32,4622323673080202,visa,Subway,Fast Food,Idaho,Nampa,Declined,6.59,MCC 5814,0,Matthew Patterson,['Italian BMT'],[6.59]
B3I76B-FB0M-7H4NTO,2023-02-27 07:35,4278396285493697,visa,Subway,Fast Food,Maryland,Columbia,Declined,6.59,MCC 5814,0,Thomas Scott,['Italian BMT'],[6.59]
I77SHX-JO86-BS993M,2023-04-17 12:03,4799302002908561,visa,Subway,Fast Food,Oklahoma,Tulsa,Declined,6.59,MCC 5814,0,Kristine Thomas,['Italian BMT'],[6.59]
UCWFHJ-Y1RQ-57IC95,2023-05-28 16:38,4233048652270612,visa,Subway,Fast Food,Virginia,Virginia Beach,Successful,6.59,MCC 5814,0,Jean Cortez,['Italian BMT'],[6.59]
9D6M3F-5EMT-403ETX,2023-06-04 20:17,4653018112490549,visa,Subway,Fast Food,Vermont,Essex,Pending,6.59,MCC 5814,0,Jared Blackwell,['Italian BMT'],[6.59]
HUJ4MB-9LB5-Q5U9UW,2023-04-25 23:32,4898662696623275,visa,Subway,Fast Food,Utah,Salt Lake City,Successful,6.59,MCC 5814,0,Jennifer Lee,['Italian BMT'],[6.59]
RXP9LJ-4QO1-HRICLQ,2023-01-24 06:16,4471318455395499,visa,Subway,Fast Food,Connecticut,New Haven,Successful,6.59,MCC 5814,0,Andrea Reid,['Italian BMT'],[6.59]
73PV8J-U8KV-LVQB5W,2023-06-18 14:02,4755850252692410,visa,Subway,Fast Food,Oklahoma,Oklahoma City,Pending,6.59,MCC 5814,0,Timothy Bridges,['Italian BMT'],[6.59]
AU0DS4-6XN0-YUCO4I,2023-03-11 15:27,4200406226575115,visa,Subway,Fast Food,Delaware,Dover,Pending,6.59,MCC 5814,0,Christine Bennett DDS,['Italian BMT'],[6.59]
1I600S-4S44-HMPQEI,2023-05-14 20:09,4392768225225770,visa,Subway,Fast Food,Connecticut,New Haven,Declined,6.59,MCC 5814,0,Karen Brown,['Italian BMT'],[6.59]
MR04NM-J4V6-03EFYL,2023-05-14 09:29,4697230156749189,visa,Subway,Fast Food,Hawaii,Honolulu,Declined,6.59,MCC 5814,0,Jennifer Lee,['Italian BMT'],[6.59]
KXJ94R-UKQ9-BANWTK,2023-02-09 12:06,4886380477590233,visa,Subway,Fast Food,New Jersey,Newark,Pending,13.08,MCC 5814,0,Richard Stewart,"['Italian BMT', 'Oven Roasted Chicken']","[6.59, 6.49]"
K97L29-86W9-59D8I1,2023-02-09 11:40,4390702388251259,visa,Subway,Fast Food,Alabama,Birmingham,Pending,6.59,MCC 5814,0,Patricia Shaw,['Italian BMT'],[6.59]
2G7U7X-MYUZ-EWHH7L,2023-03-14 17:20,4422021162747214,visa,Subway,Fast Food,New Mexico,Rio Rancho,Declined,6.59,MCC 5814,0,Regina Roberts,['Italian BMT'],[6.59]
OHEGMV-8I04-BXWT8P,2023-05-03 21:38,4432995534699856,visa,Subway,Fast Food,Oregon,Salem,Declined,6.59,MCC 5814,0,Tara Lane,['Italian BMT'],[6.59]
PS1RAB-QO4H-Z3N9N2,2023-03-22 21:50,4406117025296348,visa,Subway,Fast Food,Kentucky,Lexington,Successful,6.59,MCC 5814,0,Kathryn Jackson,['Italian BMT'],[6.59]
14CT6G-8WCM-GQF6BY,2023-04-08 18:46,4518745088269961,visa,Subway,Fast Food,North Carolina,Charlotte,Declined,6.59,MCC 5814,0,Kathryn Jackson,['Italian BMT'],[6.59]
8PF8Y5-4TX6-F3BQYG,2023-01-16 10:22,4534159543758255,visa,Subway,Fast Food,Tennessee,Knoxville,Successful,6.59,MCC 5814,0,Cynthia Nunez,['Italian BMT'],[6.59]
A9VY9S-MW0T-E7WJYH,2023-03-29 21:06,4623623622721049,visa,Subway,Fast Food,California,Los Angeles,Pending,26.06,MCC 5814,0,Richard Stewart,"['Italian BMT', 'Oven Roasted Chicken', 'Meatball Marinara', 'Subway Club']","[6.59, 6.49, 5.99, 6.99]"
2EC2UD-65VQ-S662TN,2023-02-07 11:48,4658289074585601,visa,Subway,Fast Food,Washington,Spokane,Declined,13.08,MCC 5814,0,Regina Roberts,"['Italian BMT', 'Oven Roasted Chicken']","[6.59, 6.49]"
2FWVDQ-NOHE-JC4XSS,2023-03-18 19:30,4050450881737272,visa,Subway,Fast Food,Pennsylvania,Philadelphia,Pending,13.08,MCC 5814,0,Mr. Eduardo Ford,"['Italian BMT', 'Oven Roasted Chicken']","[6.59, 6.49]"
8CTWE8-Y6B3-26FTOZ,2023-01-21 20:41,4021684470115344,visa,Subway,Fast Food,Louisiana,New Orleans,Successful,6.59,MCC 5814,0,Kelsey Barron,['Italian BMT'],[6.59]
BKUH14-GVM5-WFKW6H,2023-01-18 10:06,4934255245576890,visa,Subway,Fast Food,North Carolina,Raleigh,Declined,13.08,MCC 5814,0,Jean Cortez,"['Italian BMT', 'Oven Roasted Chicken']","[6.59, 6.49]"
Q8BF4K-S6WI-8Y9WJL,2023-05-23 06:30,4704252896444831,visa,Subway,Fast Food,Kansas,Overland Park,Declined,6.59,MCC 5814,0,Gabriella Hicks,['Italian BMT'],[6.59]
YVREPP-J64X-ZCDTD3,2023-06-04 22:10,4564229456141972,visa,Subway,Fast Food,North Dakota,Fargo,Pending,6.59,MCC 5814,0,Justin Carney,['Italian BMT'],[6.59]
F1CW0B-YAVS-5QVBKH,2023-02-08 16:08,4235083176726755,visa,Subway,Fast Food,Louisiana,New Orleans,Pending,6.59,MCC 5814,0,Ronald Gilbert,['Italian BMT'],[6.59]
S5D7I4-0B8S-7LIAPE,2023-01-01 12:44,4075272203652943,visa,Subway,Fast Food,North Carolina,Charlotte,Pending,6.59,MCC 5814,0,Justin Carney,['Italian BMT'],[6.59]
SIFG1J-ZIXQ-IXDMLQ,2023-02-15 23:50,4757373171182791,visa,Subway,Fast Food,Alaska,Fairbanks,Successful,6.59,MCC 5814,0,Melvin Crawford,['Italian BMT'],[6.59]
06KGZJ-PDTY-0E0I95,2023-01-20 10:16,4254121659332810,visa,Subway,Fast Food,Arizona,Phoenix,Declined,6.59,MCC 5814,0,Melvin Crawford,['Italian BMT'],[6.59]
KT2QYH-1209-ZTG8OJ,2023-04-30 14:05,4803310753184674,visa,Subway,Fast Food,Kansas,Overland Park,Declined,6.59,MCC 5814,0,Alicia Reese,['Italian BMT'],[6.59]
0IXYQO-J2RF-SPL3S3,2023-06-27 21:48,4437242721300252,visa,Subway,Fast Food,Maine,Portland,Pending,6.59,MCC 5814,0,Kelly Green,['Italian BMT'],[6.59]
LROEC5-GO7Y-LX367A,2023-04-14 17:23,4554116604773297,visa,Subway,Fast Food,Missouri,Kansas City,Pending,6.59,MCC 5814,0,Karen Brown,['Italian BMT'],[6.59]
BCK5MF-F5HS-WT9MC7,2023-05-08 10:26,4749348189102792,visa,Subway,Fast Food,Texas,Houston,Pending,38.540000000000006,MCC 5814,0,Amanda Moon,"['Italian BMT', 'Oven Roasted Chicken', 'Meatball Marinara', 'Subway Club', 'Turkey Breast', 'Tuna']","[6.59, 6.49, 5.99, 6.99, 5.99, 6.49]"
CHUZHK-6E60-58EVB2,2023-02-18 16:51,4998894623173558,visa,Subway,Fast Food,South Dakota,Rapid City,Declined,6.59,MCC 5814,0,Eric Campos,['Italian BMT'],[6.59]
9U29NC-G0W9-AZOL8P,2023-04-17 21:39,4799134518061860,visa,Subway,Fast Food,Alaska,Fairbanks,Pending,6.59,MCC 5814,0,Kelsey Barron,['Italian BMT'],[6.59]
H4HV7N-ENWB-6Y51U3,2023-04-27 20:16,4083793146813656,visa,Subway,Fast Food,Alabama,Birmingham,Successful,19.07,MCC 5814,0,Amanda Long,"['Italian BMT', 'Oven Roasted Chicken', 'Meatball Marinara']","[6.59, 6.49, 5.99]"
E3ZVKC-SXNW-R0TM2M,2023-05-05 10:41,4080354203600503,visa,Subway,Fast Food,Idaho,Nampa,Successful,6.59,MCC 5814,0,Frances Humphrey,['Italian BMT'],[6.59]
B1SWRU-QIMR-3Z8FIM,2023-06-09 20:21,4551536589012077,visa,Subway,Fast Food,New Hampshire,Nashua,Successful,6.59,MCC 5814,0,Aaron Mcintyre,['Italian BMT'],[6.59]
T4UIRC-REMR-8JG4WT,2023-01-26 22:42,4575047470511807,visa,Subway,Fast Food,Oregon,Salem,Declined,6.59,MCC 5814,0,Kelsey Barron,['Italian BMT'],[6.59]
Q41RZA-Z7UR-2XN9JP,2023-01-06 08:48,4912401799607535,visa,Subway,Fast Food,Rhode Island,Warwick,Successful,6.59,MCC 5814,0,Alexander Smith,['Italian BMT'],[6.59]
5VKTYV-X11X-OK17HN,2023-03-29 14:54,4220380212395141,visa,Subway,Fast Food,Kentucky,Lexington,Declined,6.59,MCC 5814,0,Patricia Shaw,['Italian BMT'],[6.59]
