index,card_name,recency,frequency,monetary_value,r_quartile,f_quartile,m_quartile,RFM_score,customer_segment
517,Alexander Farrell,163,9,6436.16,3,4,4,344,Premium Customer
541,Alexander Myers,189,10,4508.99,3,4,4,344,Premium Customer
550,Alexander Schroeder,463,12,4210.56,4,4,4,444,Premium Customer
553,Alexander Silva,221,9,3634.6,3,4,3,343,Premium Customer
555,Alexander Snow,188,9,4117.69,3,4,4,344,Premium Customer
558,Alexander Tanner,358,8,5008.07,4,3,4,434,Premium Customer
568,Alexander Wilson,168,8,3529.32,3,3,3,333,Premium Customer
570,Alexander Zavala,220,8,4153.12,3,3,4,334,Premium Customer
591,Alexandra Kerr,188,10,6139.89,3,4,4,344,Premium Customer
609,Alexandra Sims,284,8,3093.39,4,3,3,433,Premium Customer
621,Alexandria Lopez,279,8,5600.780000000001,4,3,4,434,Premium Customer
622,Alexandria Massey,471,9,6092.77,4,4,4,444,Premium Customer
663,Alexis Murray,315,10,4195.13,4,4,4,444,Premium Customer
682,Alexis Walters,411,9,4778.89,4,4,4,444,Premium Customer
728,Alicia Hicks,176,8,3132.29,3,3,3,333,Premium Customer
731,Alicia Jenkins,278,11,5953.65,4,4,4,444,Premium Customer
732,Alicia Jensen,171,12,5161.73,3,4,4,344,Premium Customer
744,Alicia Monroe,411,8,4444.68,4,3,4,434,Premium Customer
745,Alicia Moore,267,9,5979.45,3,4,4,344,Premium Customer
783,Alisha Nichols,188,8,4697.429999999999,3,3,4,334,Premium Customer
785,Alisha Weeks,175,13,6115.32,3,4,4,344,Premium Customer
793,Alison Hernandez,224,10,5856.15,3,4,4,344,Premium Customer
799,Alison Miller,197,9,4506.239999999999,3,4,4,344,Premium Customer
801,Alison Phillips,168,10,5606.389999999999,3,4,4,344,Premium Customer
819,Allen Davis MD,274,8,4532.42,3,3,4,334,Premium Customer
826,Allen Ingram,198,8,3698.37,3,3,3,333,Premium Customer
831,Allen Maddox,187,13,7360.24,3,4,4,344,Premium Customer
835,Allen Miller,172,8,3515.1800000000003,3,3,3,333,Premium Customer
836,Allen Mitchell,144,9,3232.05,3,4,3,343,Premium Customer
849,Allen Thompson,158,8,4231.75,3,3,4,334,Premium Customer
857,Allison Bond,184,12,5279.08,3,4,4,344,Premium Customer
859,Allison Brown,247,9,4992.410000000001,3,4,4,344,Premium Customer
894,Allison Romero,146,10,3123.15,3,4,3,343,Premium Customer
896,Allison Rush,219,9,4505.2,3,4,4,344,Premium Customer
900,Allison Thompson,190,9,3099.7799999999997,3,4,3,343,Premium Customer
905,Allison Walker,238,10,5751.37,3,4,4,344,Premium Customer
907,Allison Watkins,190,11,4452.769999999999,3,4,4,344,Premium Customer
908,Allison Wells,164,8,3472.06,3,3,3,333,Premium Customer
909,Allison White,323,8,3863.6400000000003,4,3,3,433,Premium Customer
943,Alyssa Mata,150,9,3281.85,3,4,3,343,Premium Customer
949,Alyssa Morris,178,8,3091.6099999999997,3,3,3,333,Premium Customer
953,Alyssa Roberts,167,8,4412.4,3,3,4,334,Premium Customer
968,Alyssa Williams,186,10,4502.320000000001,3,4,4,344,Premium Customer
971,Alyssa Wood,206,9,4158.82,3,4,4,344,Premium Customer
979,Amanda Bailey,184,8,3724.4900000000002,3,3,3,333,Premium Customer
1004,Amanda Cook,157,8,3636.13,3,3,3,333,Premium Customer
1007,Amanda Dalton,293,8,4087.8099999999995,4,3,4,434,Premium Customer
1009,Amanda Davis,187,11,4059.0999999999995,3,4,4,344,Premium Customer
1033,Amanda Garcia,169,10,6530.38,3,4,4,344,Premium Customer
1054,Amanda Hopkins,157,11,3914.58,3,4,4,344,Premium Customer
1058,Amanda Hughes,332,8,3496.5199999999995,4,3,3,433,Premium Customer
1059,Amanda Huynh,203,12,4088.7500000000005,3,4,4,344,Premium Customer
1077,Amanda Lynn,170,9,5165.83,3,4,4,344,Premium Customer
1103,Amanda Moore MD,187,11,3813.6800000000003,3,4,3,343,Premium Customer
1145,Amanda Schmidt,235,10,7562.53,3,4,4,344,Premium Customer
1157,Amanda Stone,479,8,3711.92,4,3,3,433,Premium Customer
1165,Amanda Wagner,204,12,5466.4,3,4,4,344,Premium Customer
1176,Amanda Whitney,280,9,3116.26,4,4,3,443,Premium Customer
1178,Amanda Williams,354,8,4425.33,4,3,4,434,Premium Customer
1184,Amanda Yang,264,10,3120.23,3,4,3,343,Premium Customer
1186,Amanda Zhang,162,8,3642.53,3,3,3,333,Premium Customer
1188,Amber Aguirre,175,8,4124.960000000001,3,3,4,334,Premium Customer
1209,Amber Cline MD,271,9,3820.63,3,4,3,343,Premium Customer
1224,Amber Graves,427,8,4288.52,4,3,4,434,Premium Customer
1229,Amber Henderson,191,8,4094.85,3,3,4,334,Premium Customer
1241,Amber Lloyd,221,8,3379.7,3,3,3,333,Premium Customer
1242,Amber Long,178,11,5441.43,3,4,4,344,Premium Customer
1254,Amber Nguyen,278,8,3679.1499999999996,4,3,3,433,Premium Customer
1283,Amber Werner,204,11,6333.87,3,4,4,344,Premium Customer
1289,Amber Zimmerman,158,9,5102.0599999999995,3,4,4,344,Premium Customer
1290,Amy Adams,213,8,3314.05,3,3,3,333,Premium Customer
1296,Amy Arnold,698,9,5099.18,4,4,4,444,Premium Customer
1299,Amy Bauer,647,9,4665.79,4,4,4,444,Premium Customer
1300,Amy Bennett,333,12,4891.870000000001,4,4,4,444,Premium Customer
1304,Amy Booker,222,9,6312.08,3,4,4,344,Premium Customer
1307,Amy Branch,359,9,4518.56,4,4,4,444,Premium Customer
1319,Amy Cline,154,12,8614.51,3,4,4,344,Premium Customer
1325,Amy Cortez,160,9,3534.96,3,4,3,343,Premium Customer
1332,Amy Edwards,168,8,3881.6800000000003,3,3,3,333,Premium Customer
1363,Amy Hudson,263,8,3491.2300000000005,3,3,3,333,Premium Customer
1366,Amy Hurst,220,8,3767.5,3,3,3,333,Premium Customer
1402,Amy Murillo,462,8,5158.75,4,3,4,434,Premium Customer
1411,Amy Peters,262,9,3793.98,3,4,3,343,Premium Customer
1415,Amy Quinn,188,8,5360.110000000001,3,3,4,334,Premium Customer
1429,Amy Sandoval DDS,144,9,3388.7999999999997,3,4,3,343,Premium Customer
1437,Amy Simpson,182,13,5670.779999999999,3,4,4,344,Premium Customer
1440,Amy Snyder,206,9,3581.36,3,4,3,343,Premium Customer
1458,Amy Wang,266,8,4218.74,3,3,4,334,Premium Customer
1463,Amy White,278,10,5191.599999999999,4,4,4,444,Premium Customer
1480,Ana Jacobs,147,11,5030.66,3,4,4,344,Premium Customer
1483,Ana Martin,245,10,5436.549999999999,3,4,4,344,Premium Customer
1484,Ana Mcdowell,377,10,3527.78,4,4,3,443,Premium Customer
1491,Andre Avery,228,8,5940.7300000000005,3,3,4,334,Premium Customer
1493,Andre Carter,502,9,6932.1900000000005,4,4,4,444,Premium Customer
1496,Andre Dawson,193,10,3436.49,3,4,3,343,Premium Customer
1508,Andre Rodriguez,357,8,3414.5600000000004,4,3,3,433,Premium Customer
1509,Andre Stevens,232,8,3163.07,3,3,3,333,Premium Customer
1510,Andre Stokes,156,8,6444.29,3,3,4,334,Premium Customer
1535,Andrea Cohen,158,9,4934.950000000001,3,4,4,344,Premium Customer
1550,Andrea Greene,199,13,7111.060000000001,3,4,4,344,Premium Customer
1551,Andrea Guzman,477,12,4712.82,4,4,4,444,Premium Customer
1561,Andrea Holmes DDS,243,8,4059.77,3,3,4,334,Premium Customer
1563,Andrea Huerta,256,8,5441.9800000000005,3,3,4,334,Premium Customer
1587,Andrea Montgomery,146,9,4847.32,3,4,4,344,Premium Customer
1592,Andrea Parker,278,8,4494.150000000001,4,3,4,434,Premium Customer
1648,Andrew Bell,267,8,4459.99,3,3,4,334,Premium Customer
1650,Andrew Best,471,8,3479.74,4,3,3,433,Premium Customer
1665,Andrew Chavez,342,8,3392.01,4,3,3,433,Premium Customer
1682,Andrew Flores,202,8,3691.4300000000003,3,3,3,333,Premium Customer
1684,Andrew Frank,180,10,4704.860000000001,3,4,4,344,Premium Customer
1691,Andrew Gonzalez,168,9,4348.52,3,4,4,344,Premium Customer
1710,Andrew Jefferson,264,9,5143.7699999999995,3,4,4,344,Premium Customer
1712,Andrew Johnson,195,10,4391.87,3,4,4,344,Premium Customer
1715,Andrew Keller,567,8,3619.64,4,3,3,433,Premium Customer
1723,Andrew Lambert,378,8,4772.29,4,3,4,434,Premium Customer
1732,Andrew Mack,694,10,6316.8099999999995,4,4,4,444,Premium Customer
1734,Andrew Mann,313,8,3830.56,4,3,3,433,Premium Customer
1743,Andrew Mcmahon,165,9,3501.09,3,4,3,343,Premium Customer
1751,Andrew Morales,155,9,3634.75,3,4,3,343,Premium Customer
1763,Andrew Pearson,284,8,3394.69,4,3,3,433,Premium Customer
1770,Andrew Richardson,300,8,3387.55,4,3,3,433,Premium Customer
1775,Andrew Rollins,350,9,5075.74,4,4,4,444,Premium Customer
1809,Andrew Webb,185,8,3594.1099999999997,3,3,3,333,Premium Customer
1812,Andrew Wiley,180,8,4046.23,3,3,4,334,Premium Customer
1815,Andrew Wilson,323,8,4888.990000000001,4,3,4,434,Premium Customer
1820,Angel Ballard,439,8,3539.9400000000005,4,3,3,433,Premium Customer
1830,Angel Gilbert,355,11,8186.29,4,4,4,444,Premium Customer
1833,Angel Hernandez,250,9,3220.51,3,4,3,343,Premium Customer
1836,Angel Jones,313,8,4373.46,4,3,4,434,Premium Customer
1851,Angel Walker,281,8,3768.14,4,3,3,433,Premium Customer
1861,Angela Barnes,235,9,4565.79,3,4,4,344,Premium Customer
1883,Angela Cooper,212,10,5813.74,3,4,4,344,Premium Customer
1886,Angela David,254,8,4065.5700000000006,3,3,4,334,Premium Customer
1891,Angela Dunn,241,9,5425.52,3,4,4,344,Premium Customer
1901,Angela Gaines,158,8,5043.86,3,3,4,334,Premium Customer
1911,Angela Harris,178,8,3009.2700000000004,3,3,3,333,Premium Customer
1930,Angela Kim,162,8,3345.28,3,3,3,333,Premium Customer
1936,Angela Mack DVM,179,8,5788.74,3,3,4,334,Premium Customer
1940,Angela Matthews,422,8,3748.29,4,3,3,433,Premium Customer
1946,Angela Moon,282,9,3352.19,4,4,3,443,Premium Customer
1953,Angela Norman,246,13,6783.04,3,4,4,344,Premium Customer
1963,Angela Pham,396,9,4593.93,4,4,4,444,Premium Customer
1968,Angela Powell,163,10,5371.36,3,4,4,344,Premium Customer
1976,Angela Richard,234,8,5119.48,3,3,4,334,Premium Customer
1993,Angela Simmons,168,9,3764.54,3,4,3,343,Premium Customer
1994,Angela Smith,466,8,2987.27,4,3,3,433,Premium Customer
1998,Angela Stuart,184,9,5447.07,3,4,4,344,Premium Customer
2001,Angela Thornton,215,9,6153.46,3,4,4,344,Premium Customer
2010,Angela Williams,146,8,4409.79,3,3,4,334,Premium Customer
2023,Angelica Howard,181,9,5575.99,3,4,4,344,Premium Customer
2027,Angelica Maynard,196,11,5315.63,3,4,4,344,Premium Customer
2033,Angie Brown,243,9,3400.1600000000008,3,4,3,343,Premium Customer
2035,Angie Daniels,387,8,3980.16,4,3,4,434,Premium Customer
2038,Anita Black,177,10,4033.17,3,4,4,344,Premium Customer
2051,Anita Mason,275,9,5290.28,3,4,4,344,Premium Customer
2057,Anita Rose,180,11,5227.07,3,4,4,344,Premium Customer
2076,Ann Ferguson,204,10,5168.050000000001,3,4,4,344,Premium Customer
2085,Ann Hernandez,397,8,4090.48,4,3,4,434,Premium Customer
2089,Ann Kelley,189,9,4325.4,3,4,4,344,Premium Customer
2106,Ann Sherman,227,10,4714.680000000001,3,4,4,344,Premium Customer
2108,Ann Smith,277,10,4400.21,3,4,4,344,Premium Customer
2112,Ann Thomas,265,10,3509.6800000000003,3,4,3,343,Premium Customer
2113,Ann Thompson,253,9,3433.4099999999994,3,4,3,343,Premium Customer
2152,Anna Horn,180,10,4893.66,3,4,4,344,Premium Customer
2175,Anna Orozco,197,10,3275.0499999999997,3,4,3,343,Premium Customer
2194,Anna Thompson,158,8,3512.75,3,3,3,333,Premium Customer
2200,Anna Wilson,269,8,3891.58,3,3,3,333,Premium Customer
2205,Anne Allen,322,8,3594.43,4,3,3,433,Premium Customer
2210,Anne Brown,407,8,3506.66,4,3,3,433,Premium Customer
2228,Anne Morris,143,9,5296.58,3,4,4,344,Premium Customer
2240,Anne Waters,334,9,4992.0,4,4,4,444,Premium Customer
2250,Annette Davis,177,9,4244.58,3,4,4,344,Premium Customer
2251,Annette Edwards,289,10,5216.33,4,4,4,444,Premium Customer
2254,Annette Hart,203,8,3443.25,3,3,3,333,Premium Customer
2255,Annette Jones,207,10,3863.0899999999997,3,4,3,343,Premium Customer
2261,Annette Morris,312,12,4083.9500000000003,4,4,4,444,Premium Customer
2278,Anthony Atkins,170,10,4537.990000000001,3,4,4,344,Premium Customer
2286,Anthony Bauer,267,8,5195.0,3,3,4,334,Premium Customer
2290,Anthony Berg,292,8,3332.3100000000004,4,3,3,433,Premium Customer
2305,Anthony Castillo,204,12,4769.4800000000005,3,4,4,344,Premium Customer
2313,Anthony Combs,402,8,4240.860000000001,4,3,4,434,Premium Customer
2314,Anthony Conrad,260,11,6797.48,3,4,4,344,Premium Customer
2315,Anthony Contreras,194,10,3460.1,3,4,3,343,Premium Customer
2324,Anthony Day,224,8,3271.8,3,3,3,333,Premium Customer
2344,Anthony Gonzales,241,9,3595.9700000000003,3,4,3,343,Premium Customer
2347,Anthony Graham,158,8,3375.17,3,3,3,333,Premium Customer
2364,Anthony Higgins,171,10,4022.3600000000006,3,4,4,344,Premium Customer
2365,Anthony Hill,237,10,6165.76,3,4,4,344,Premium Customer
2379,Anthony Kennedy,203,9,3503.11,3,4,3,343,Premium Customer
2384,Anthony Lee,165,8,4495.86,3,3,4,334,Premium Customer
2390,Anthony Lopez,271,10,5902.01,3,4,4,344,Premium Customer
2404,Anthony Mcintosh,245,9,3003.48,3,4,3,343,Premium Customer
2410,Anthony Moon,272,8,3142.68,3,3,3,333,Premium Customer
2411,Anthony Moore,597,8,4364.12,4,3,4,434,Premium Customer
2425,Anthony Pena,142,12,6341.9400000000005,3,4,4,344,Premium Customer
2442,Anthony Rogers,211,8,3283.59,3,3,3,333,Premium Customer
2486,Antonio Baird,308,8,4800.719999999999,4,3,4,434,Premium Customer
2491,Antonio Campbell,142,10,4062.3900000000003,3,4,4,344,Premium Customer
2510,Antonio Krueger,284,9,4792.46,4,4,4,444,Premium Customer
2515,Antonio Nichols,191,8,3159.4100000000003,3,3,3,333,Premium Customer
2517,Antonio Robinson,161,8,3441.12,3,3,3,333,Premium Customer
2526,Antonio Taylor,193,8,3083.8599999999997,3,3,3,333,Premium Customer
2541,April Blackburn,370,8,4425.02,4,3,4,434,Premium Customer
2547,April Cervantes,190,11,4557.200000000001,3,4,4,344,Premium Customer
2555,April Delgado,146,12,5059.469999999999,3,4,4,344,Premium Customer
2557,April Fisher,228,9,5321.19,3,4,4,344,Premium Customer
2565,April Hale,142,10,3691.3100000000004,3,4,3,343,Premium Customer
2589,April Ochoa,239,9,4648.29,3,4,4,344,Premium Customer
2593,April Peterson,166,10,3692.9399999999996,3,4,3,343,Premium Customer
2598,April Roberts,175,9,3857.86,3,4,3,343,Premium Customer
2604,April Steele,292,9,3466.2000000000003,4,4,3,443,Premium Customer
2613,April White,236,10,3953.91,3,4,4,344,Premium Customer
2621,Ariana Diaz,234,10,5671.009999999999,3,4,4,344,Premium Customer
2624,Ariana Greer,661,8,4141.53,4,3,4,434,Premium Customer
2629,Ariana Smith,250,9,3102.41,3,4,3,343,Premium Customer
2633,Ariel Anderson,196,9,6444.290000000001,3,4,4,344,Premium Customer
2642,Ariel Davis,376,8,4509.33,4,3,4,434,Premium Customer
2646,Ariel Lambert,394,12,5148.309999999999,4,4,4,444,Premium Customer
2654,Arthur Clark,275,8,4475.72,3,3,4,334,Premium Customer
2657,Arthur Garrett,149,9,4412.860000000001,3,4,4,344,Premium Customer
2682,Ashley Andrade,293,8,4624.299999999999,4,3,4,434,Premium Customer
2687,Ashley Bailey,193,9,6169.21,3,4,4,344,Premium Customer
2699,Ashley Bishop,214,10,4715.030000000001,3,4,4,344,Premium Customer
2707,Ashley Calhoun,174,8,3172.08,3,3,3,333,Premium Customer
2712,Ashley Choi,144,8,3542.9199999999996,3,3,3,333,Premium Customer
2713,Ashley Christian,262,8,3842.7599999999998,3,3,3,333,Premium Customer
2716,Ashley Cohen,290,10,5069.339999999999,4,4,4,444,Premium Customer
2735,Ashley Flores,165,8,4186.360000000001,3,3,4,334,Premium Customer
2749,Ashley Gray,625,9,4663.8,4,4,4,444,Premium Customer
2772,Ashley Johnston,163,8,3371.04,3,3,3,333,Premium Customer
2778,Ashley Leach,191,9,4009.06,3,4,4,344,Premium Customer
2779,Ashley Lee,196,10,6767.5199999999995,3,4,4,344,Premium Customer
2785,Ashley Lopez,252,9,4758.8099999999995,3,4,4,344,Premium Customer
2786,Ashley Lynch,492,8,3416.71,4,3,3,433,Premium Customer
2800,Ashley Morse,157,8,4347.02,3,3,4,334,Premium Customer
2802,Ashley Murphy,410,10,4496.82,4,4,4,444,Premium Customer
2807,Ashley Norris,169,10,7407.289999999999,3,4,4,344,Premium Customer
2817,Ashley Perry,502,8,3786.81,4,3,3,433,Premium Customer
2822,Ashley Reed,203,8,4510.4,3,3,4,334,Premium Customer
2836,Ashley Rose,145,8,4315.639999999999,3,3,4,334,Premium Customer
2849,Ashley Stark,185,8,3632.3199999999997,3,3,3,333,Premium Customer
2859,Ashley Trevino,146,8,3409.95,3,3,3,333,Premium Customer
2862,Ashley Walker,437,8,3205.5699999999997,4,3,3,433,Premium Customer
2874,Ashley Wilson,361,11,4391.700000000001,4,4,4,444,Premium Customer
2887,Audrey Hicks,166,8,3817.03,3,3,3,333,Premium Customer
2923,Austin Gilmore,213,11,4101.8099999999995,3,4,4,344,Premium Customer
2924,Austin Glover,502,10,4306.34,4,4,4,444,Premium Customer
2925,Austin Goodwin,168,9,5095.69,3,4,4,344,Premium Customer
2926,Austin Graham,306,9,3568.9500000000003,4,4,3,443,Premium Customer
2927,Austin Green,236,9,3106.5099999999998,3,4,3,343,Premium Customer
2929,Austin Hamilton,374,9,4463.5,4,4,4,444,Premium Customer
2938,Austin Kelly,181,9,4077.06,3,4,4,344,Premium Customer
2944,Austin Martinez,178,9,5471.379999999999,3,4,4,344,Premium Customer
2959,Austin Saunders,349,8,4077.42,4,3,4,434,Premium Customer
2962,Austin Singleton,211,8,3800.57,3,3,3,333,Premium Customer
2975,Autumn Ayala,347,8,3803.23,4,3,3,433,Premium Customer
2979,Autumn Hall,193,8,3639.4900000000002,3,3,3,333,Premium Customer
2982,Autumn James,594,9,5499.02,4,4,4,444,Premium Customer
2988,Autumn Shea,157,10,4867.7699999999995,3,4,4,344,Premium Customer
2992,Autumn Wolf,541,8,4427.21,4,3,4,434,Premium Customer
3009,Barbara Anderson,414,8,4231.34,4,3,4,434,Premium Customer
3015,Barbara Burgess,189,8,3468.31,3,3,3,333,Premium Customer
3018,Barbara Carlson,283,9,4043.7999999999997,4,4,4,444,Premium Customer
3019,Barbara Carroll,240,9,5139.900000000001,3,4,4,344,Premium Customer
3023,Barbara Collins,317,8,4532.860000000001,4,3,4,434,Premium Customer
3029,Barbara Fernandez,521,10,5101.2,4,4,4,444,Premium Customer
3031,Barbara Flores,269,9,5357.53,3,4,4,344,Premium Customer
3042,Barbara Johnson,317,9,3520.83,4,4,3,443,Premium Customer
3052,Barbara Nelson,150,8,3608.9800000000005,3,3,3,333,Premium Customer
3074,Barbara Stone,305,9,4120.2699999999995,4,4,4,444,Premium Customer
3080,Barbara Turner,346,12,6170.469999999999,4,4,4,444,Premium Customer
3084,Barbara Wilson,159,10,4647.929999999999,3,4,4,344,Premium Customer
3087,Barry Dawson,156,8,3840.9399999999996,3,3,3,333,Premium Customer
3096,Barry Kelly,169,8,3313.5199999999995,3,3,3,333,Premium Customer
3103,Barry Phillips,282,9,5188.95,4,4,4,444,Premium Customer
3115,Becky Frazier,393,8,3551.92,4,3,3,433,Premium Customer
3129,Belinda Hansen,225,12,5119.59,3,4,4,344,Premium Customer
3130,Belinda Hatfield,698,9,4004.4799999999996,4,4,4,444,Premium Customer
3140,Benjamin Bailey,146,8,3523.0299999999997,3,3,3,333,Premium Customer
3142,Benjamin Bartlett,322,9,3818.4300000000003,4,4,3,443,Premium Customer
3144,Benjamin Beck,186,8,3958.9100000000003,3,3,4,334,Premium Customer
3151,Benjamin Buchanan,146,10,4484.2300000000005,3,4,4,344,Premium Customer
3177,Benjamin Guzman,368,10,4715.400000000001,4,4,4,444,Premium Customer
3194,Benjamin Lee,221,9,3507.94,3,4,3,343,Premium Customer
3198,Benjamin Mcdonald,324,9,4914.9800000000005,4,4,4,444,Premium Customer
3228,Benjamin Stanley,179,9,6194.5,3,4,4,344,Premium Customer
3233,Benjamin Thompson,427,10,5231.08,4,4,4,444,Premium Customer
3244,Benjamin Zamora,399,9,4741.43,4,4,4,444,Premium Customer
3258,Beth Baker,230,8,3798.09,3,3,3,333,Premium Customer
3273,Beth Moreno,175,8,4494.0,3,3,4,334,Premium Customer
3292,Bethany Carpenter,497,9,5158.85,4,4,4,444,Premium Customer
3305,Betty Howard,312,8,3955.76,4,3,4,434,Premium Customer
3308,Betty Meyers,221,8,5087.040000000001,3,3,4,334,Premium Customer
3312,Betty Tucker,242,9,5342.44,3,4,4,344,Premium Customer
3319,Beverly Hernandez,467,9,3416.81,4,4,3,443,Premium Customer
3321,Beverly Jennings,199,12,4952.95,3,4,4,344,Premium Customer
3330,Beverly Wheeler,208,8,3639.38,3,3,3,333,Premium Customer
3333,Bianca Ellis,181,8,3244.94,3,3,3,333,Premium Customer
3343,Bianca Yang,331,10,4465.74,4,4,4,444,Premium Customer
3351,Bill Mathis,173,8,3144.1099999999997,3,3,3,333,Premium Customer
3355,Billy Baker,462,9,4556.290000000001,4,4,4,444,Premium Customer
3359,Billy Bullock,170,9,3184.44,3,4,3,343,Premium Customer
3381,Billy Valencia,202,8,3892.33,3,3,3,333,Premium Customer
3384,Blake Adams,186,8,3109.29,3,3,3,333,Premium Customer
3387,Blake Bennett,237,9,4185.79,3,4,4,344,Premium Customer
3402,Blake Pierce,157,10,3933.39,3,4,4,344,Premium Customer
3414,Bob Moore,337,8,4911.1,4,3,4,434,Premium Customer
3433,Bobby Smith,255,9,4089.7,3,4,4,344,Premium Customer
3435,Bobby Warner,192,10,5345.299999999999,3,4,4,344,Premium Customer
3457,Bonnie Tucker,170,8,3014.52,3,3,3,333,Premium Customer
3468,Brad Gomez,224,9,4142.56,3,4,4,344,Premium Customer
3488,Bradley Choi,149,8,5246.2,3,3,4,334,Premium Customer
3492,Bradley David,178,8,3820.8599999999997,3,3,3,333,Premium Customer
3495,Bradley Evans,341,10,5320.86,4,4,4,444,Premium Customer
3502,Bradley Griffin,363,9,3813.6200000000003,4,4,3,443,Premium Customer
3513,Bradley Leonard,491,9,3520.34,4,4,3,443,Premium Customer
3515,Bradley Long,142,9,5762.94,3,4,4,344,Premium Customer
3522,Bradley Mendez,358,10,5996.12,4,4,4,444,Premium Customer
3533,Bradley Rhodes,153,10,4299.24,3,4,4,344,Premium Customer
3535,Bradley Rogers,366,8,4104.55,4,3,4,434,Premium Customer
3536,Bradley Ruiz,189,8,5090.69,3,3,4,334,Premium Customer
