,transaction_id,transaction_date,cardholder_name,card_number,card_type,merchant_name,merchant_category,merchant_state,merchant_city,transaction_status,transaction_amount,merchant_category_code,fraud_flag
22,0UYDHD-VKR9-2T904X,2021-12-31 15:32:00,Denise Goodwin,4339361377179312,visa,Domino's Pizza,Fast Food,New Hampshire,Nashua,Successful,13.507401362049212,MCC 5814,0
23,71ZQ4B-WWNC-M2N7NA,2021-01-13 20:24:00,April Joseph,4164225053702699,visa,Five Guys,Fast Food,Nevada,Las Vegas,Declined,14.993890505603389,MCC 5814,1
24,X3Q8K2-ZAGA-GVNT8H,2019-09-25 22:07:00,Tracey King,4496070681345621,visa,Five Guys,Fast Food,Idaho,Boise City,Successful,25.50357624878604,MCC 5814,0
25,26SECF-WY0Y-OS5Z9A,2018-11-04 19:45:00,Jason Vaughan Jr.,4547442055365577,visa,Domino's Pizza,Fast Food,Illinois,Chicago,Pending,20.20745568573464,MCC 5814,1
26,ACCJK4-FIB9-IGEEHM,2021-05-23 05:28:00,April Miller,4966908277165575,visa,Chipotle,Fast Food,Vermont,Essex,Pending,1.9725971307919712,MCC 5814,0
27,G51FH4-26K8-GIX16I,2020-03-30 19:08:00,Allison Martin,4708451644490387,visa,Chipotle,Fast Food,Texas,San Antonio,Successful,37.80864533448241,MCC 5814,1
28,08RKQC-RFV0-AROLQX,2021-03-21 16:38:00,Daniel Garcia,4398925151726817,visa,Subway,Fast Food,Michigan,Detroit,Successful,27.355404938000344,MCC 5814,0
29,7294LB-WNT1-EOGK3I,2023-03-26 07:22:00,James Robertson,4739993584622118,visa,Chipotle,Fast Food,Oregon,Portland,Successful,4.1327481747539965,MCC 5814,0
30,5OOEI2-1GXO-HUIMP9,2018-08-29 13:23:00,Miguel Page,4010068720860508,visa,Chipotle,Fast Food,South Dakota,Rapid City,Pending,1.3907354532776994,MCC 5814,0
31,TJ52AU-J0BT-LKF062,2023-08-20 23:58:00,Veronica Ramirez,4440252544698449,visa,Chipotle,Fast Food,Tennessee,Nashville,Pending,8.210081975984512,MCC 5814,0
32,XPFO1U-SBE3-RYNK2A,2021-10-12 21:48:00,Miranda Bailey,4763802930709009,visa,Domino's Pizza,Fast Food,Delaware,Dover,Successful,2.302596485441399,MCC 5814,1
33,HDY2YC-UBA3-QNL3GZ,2020-08-16 16:22:00,Nathan Garner,4261971077299111,visa,Chipotle,Fast Food,Pennsylvania,Philadelphia,Pending,14.622828895615864,MCC 5814,0
34,B8UJP5-851L-2QLCXS,2019-10-15 20:09:00,Elizabeth Rodgers,4327795781378610,visa,Five Guys,Fast Food,Colorado,Colorado Springs,Declined,3.5093586110305925,MCC 5814,0
35,97QG99-DBV1-4UOH10,2018-08-11 08:45:00,Carla Miller MD,4579327458448321,visa,Chipotle,Fast Food,Georgia,Augusta,Successful,4.5161642383266845,MCC 5814,0
36,9YG0RC-VCDW-HA7G8C,2021-01-12 17:57:00,Scott Hatfield,4575912566637529,visa,Chipotle,Fast Food,Alabama,Montgomery,Successful,11.140691900284663,MCC 5814,0
37,QM9C9Y-J5ID-TY430V,2022-11-15 22:53:00,Stephen Smith,4515961171701173,visa,Domino's Pizza,Fast Food,Ohio,Cleveland,Pending,14.416764050830595,MCC 5814,0
38,3M36G2-MWUV-B1GUY1,2022-05-23 09:22:00,Rebekah Vance,4869667385624307,visa,Five Guys,Fast Food,Maryland,Baltimore,Pending,35.663542097246065,MCC 5814,0
39,EYMNNY-K5TF-GTNBDW,2019-07-12 23:09:00,Amy Randolph,4377370756011957,visa,McDonald's,Fast Food,New Jersey,Jersey City,Pending,43.27923265961616,MCC 5814,1
40,XGAVW3-J8RD-E2L5T6,2022-03-06 23:22:00,Lorraine Strickland,4844765336256086,visa,Domino's Pizza,Fast Food,Arizona,Phoenix,Successful,45.22943218531995,MCC 5814,0
41,U114MK-4DMC-5AKGK7,2018-01-12 19:41:00,Ryan Barnes,4068828923490887,visa,McDonald's,Fast Food,Rhode Island,Warwick,Pending,7.036696683471258,MCC 5814,0
43,5E9ZT8-LOB4-HN2STS,2020-08-25 16:27:00,Donald Wade,4948817893455091,visa,Subway,Fast Food,Iowa,Des Moines,Declined,6.875032877180006,MCC 5814,0
44,QSL6ZU-GKH9-J4JACT,2019-10-16 15:59:00,Hannah Cook,4965538802455273,visa,Domino's Pizza,Fast Food,Arkansas,Fort Smith,Pending,0.4125666776362018,MCC 5814,1
45,40PXRR-VLQN-GSYZV3,2018-09-23 23:43:00,Joshua Ball,4577592736075434,visa,Domino's Pizza,Fast Food,Mississippi,Jackson,Successful,2.427797357205188,MCC 5814,0
46,RLNZ49-BRZH-TX89YS,2022-03-08 06:47:00,Erica Moreno,4599514222173337,visa,Subway,Fast Food,West Virginia,Huntington,Declined,42.998936368232464,MCC 5814,1
47,5ZZLBD-EG5G-ENZURD,2019-05-07 08:14:00,Kelli Frazier,4267812880722523,visa,Domino's Pizza,Fast Food,Indiana,Indianapolis,Pending,3.3237675903283392,MCC 5814,1
48,FR24WA-JMWP-CBQLC2,2018-05-15 07:52:00,Claire Taylor,4947058845399381,visa,Domino's Pizza,Fast Food,Utah,Salt Lake City,Successful,14.71878650460582,MCC 5814,0
49,7NQWPZ-W8YU-V1ZSO8,2020-08-20 10:08:00,Samuel Hernandez,4380237588088542,visa,Domino's Pizza,Fast Food,Vermont,Burlington,Declined,0.5321101681556827,MCC 5814,0
50,XHTJY0-54UK-PWUK0Y,2023-06-05 19:20:00,Rachel Marquez,4990762137841242,visa,Domino's Pizza,Fast Food,Florida,Jacksonville,Pending,5.095344995868198,MCC 5814,0
52,6O6VR6-Y2GA-0FWS8D,2021-01-27 09:35:00,Joseph Cortez,4489730017548573,visa,Domino's Pizza,Fast Food,Pennsylvania,Pittsburgh,Declined,32.656441702367935,MCC 5814,0
53,ECE8BA-8UEX-CN49EM,2019-05-27 12:33:00,Matthew Huynh,4423716953988583,visa,Subway,Fast Food,North Carolina,Raleigh,Pending,10.527045732402506,MCC 5814,0
54,CK2P4G-U812-PPERY4,2018-07-03 18:53:00,Jose Smith,4869415372508616,visa,Domino's Pizza,Fast Food,Louisiana,Baton Rouge,Successful,10.496596573432322,MCC 5814,0
55,Y99J5G-FD0N-PPAEGN,2021-07-19 18:59:00,Jason Wallace,4076268196282648,visa,Five Guys,Fast Food,Wisconsin,Milwaukee,Successful,22.84452129141513,MCC 5814,1
56,HE8PDI-9VGE-ILWIQ7,2020-04-17 20:09:00,Michelle Allen,4751046404381069,visa,Subway,Fast Food,New Hampshire,Manchester,Pending,4.485138448287608,MCC 5814,0
57,7OFQGY-YH2F-ARKW5P,2022-12-11 18:15:00,Barry Sullivan,4851014050263485,visa,Domino's Pizza,Fast Food,South Dakota,Sioux Falls,Successful,14.606644268635788,MCC 5814,0
58,4FRE1M-FFWF-YZ0MV5,2023-08-17 18:20:00,Robert Moran,4120983631238791,visa,Subway,Fast Food,Montana,Missoula,Successful,10.1725745867632,MCC 5814,0
59,5FGR0I-SMBL-19OXDJ,2021-12-13 21:01:00,Christie Hughes,4198769761702392,visa,Subway,Fast Food,Florida,Miami,Successful,6.650629100609576,MCC 5814,0
60,4BK7L2-N5I1-T6D3KM,2023-08-05 23:43:00,Alan Brown,4273145464923221,visa,Domino's Pizza,Fast Food,Tennessee,Knoxville,Successful,7.498287972772087,MCC 5814,0
61,MMMR1Q-88PQ-4I5PBV,2023-05-16 16:42:00,Andrew Taylor,4158770111089793,visa,McDonald's,Fast Food,Connecticut,New Haven,Declined,11.883476838149246,MCC 5814,0
62,USF08F-60OQ-KIPLGO,2022-03-20 06:22:00,Morgan Krueger,4840623211004770,visa,Chipotle,Fast Food,California,San Diego,Pending,15.418,MCC 5814,0
63,3U9PQK-4A1G-KOB548,2019-07-09 13:40:00,Jose Matthews,4557766505603873,visa,Subway,Fast Food,Illinois,Aurora,Pending,10.146375720739938,MCC 5814,0
64,13FI4J-E1R3-D8V60C,2023-06-09 08:39:00,John Rivera,4318963763800461,visa,Chipotle,Fast Food,Oklahoma,Oklahoma City,Declined,6.623889085580726,MCC 5814,0
65,U067LU-7SJZ-3HLQKX,2019-05-24 19:47:00,Rhonda Gordon MD,4276059263842937,visa,Five Guys,Fast Food,California,San Diego,Successful,25.5216,MCC 5814,0
66,LNFPK3-H8T3-WJLKQQ,2018-12-09 15:10:00,Jason Tran PhD,4856076215781458,visa,Chipotle,Fast Food,Nevada,Las Vegas,Successful,24.30863581285889,MCC 5814,1
68,YGH1FO-J9YN-BREISR,2023-07-04 17:58:00,Deanna Hall,4956492089220946,visa,Subway,Fast Food,California,San Diego,Pending,78.288,MCC 5814,0
69,ZUEQTU-F8UB-8S33G2,2023-05-30 20:40:00,Tammy Spencer,4703837599094007,visa,Subway,Fast Food,New Mexico,Rio Rancho,Pending,16.37002449918709,MCC 5814,0
70,1H9ETK-7YJ0-OSLH7T,2021-09-06 07:36:00,Angela Benson,4398482885972630,visa,McDonald's,Fast Food,Minnesota,Minneapolis,Successful,8.368654354809069,MCC 5814,1
71,Q4MFHY-GRJ8-M0PNG3,2019-11-03 10:06:00,David Kent,4975866641054470,visa,Subway,Fast Food,Texas,San Antonio,Pending,80.49944190663258,MCC 5814,0
72,1YSZPU-3B3T-GA28ZU,2022-03-14 05:53:00,Sheena Compton,4599919498777960,visa,McDonald's,Fast Food,New Mexico,Albuquerque,Declined,4.338345715332268,MCC 5814,0
73,7GEO2I-YMX3-QWI5KS,2020-06-20 21:13:00,Brandy Sullivan,4028037104909504,visa,McDonald's,Fast Food,Kentucky,Louisville,Pending,25.58770544037824,MCC 5814,0
74,K7MPZJ-MV3C-KX0HH0,2023-07-03 21:02:00,Michelle Hendricks,4712864588839365,visa,McDonald's,Fast Food,Indiana,Fort Wayne,Pending,37.93164972472668,MCC 5814,0
75,8WKO5B-2KQZ-B60EKZ,2020-11-07 19:33:00,April Cordova,4813819463415291,visa,Five Guys,Fast Food,Louisiana,New Orleans,Declined,43.00091677914001,MCC 5814,0
76,6XLO0Y-UM60-GMXQ8Y,2018-06-09 09:49:00,William Davis DVM,4241371773805342,visa,Subway,Fast Food,Maine,Lewiston,Declined,2.7204826370024966,MCC 5814,0
77,6K5XFR-L4GH-8882J7,2023-08-27 19:37:00,Curtis Velazquez,4946695692239383,visa,McDonald's,Fast Food,Georgia,Atlanta,Pending,35.28909730413409,MCC 5814,0
78,CNCRC9-DX9M-27NHWS,2018-11-10 22:09:00,Samantha Dougherty,4621998081246569,visa,Subway,Fast Food,Florida,Jacksonville,Successful,14.237682396500672,MCC 5814,0
79,3D0SZK-M2CG-I9S5W2,2018-08-31 23:58:00,Adrienne Carter,4426497247153477,visa,McDonald's,Fast Food,Georgia,Augusta,Successful,18.522575001658,MCC 5814,1
80,5NXSA4-YCBY-DPR7Q3,2021-01-30 15:42:00,Jennifer Yoder,4711309010200688,visa,McDonald's,Fast Food,North Carolina,Charlotte,Successful,13.3040537458616,MCC 5814,0
81,TJR5VN-OCA9-69W8J9,2018-06-16 08:45:00,Robert Davis,4801848167483200,visa,Subway,Fast Food,Iowa,Cedar Rapids,Successful,2.3279181091102537,MCC 5814,1
82,V5H96K-8Q45-US1WI3,2022-05-13 19:04:00,Victoria Bates,4387641247986157,visa,Subway,Fast Food,Louisiana,Baton Rouge,Pending,1.2604346889382587,MCC 5814,0
83,XSPCHU-ONQZ-W8OOH9,2023-07-15 05:32:00,Katherine Ellison,4217815876579246,visa,Five Guys,Fast Food,Ohio,Columbus,Successful,8.252559174775868,MCC 5814,0
84,XZ9RCH-VI7L-DEPO88,2023-04-29 07:56:00,Heather Davis,4784732373423906,visa,Five Guys,Fast Food,West Virginia,Huntington,Pending,2.7532241840287424,MCC 5814,0
85,K52PKP-LZBI-P3YX5E,2023-02-25 19:10:00,Sheri Dennis,4590856695306012,visa,Five Guys,Fast Food,North Carolina,Charlotte,Successful,6.377630764422403,MCC 5814,0
86,6BL0WX-VDPR-JTKSS2,2022-03-15 10:41:00,Melanie Hammond,4037149625022839,visa,McDonald's,Fast Food,Massachusetts,Worcester,Successful,8.068100499713024,MCC 5814,0
87,5FZ5OA-ZL7X-VMTCFU,2018-04-17 20:12:00,Jenna Hamilton,4684344046620107,visa,McDonald's,Fast Food,New Mexico,Rio Rancho,Declined,5.520946621437656,MCC 5814,0
88,Z8HXJL-W7W0-XAK3MC,2022-06-12 12:24:00,Daniel Sanchez,4580161634634448,visa,Chipotle,Fast Food,Pennsylvania,Pittsburgh,Successful,8.839140977297587,MCC 5814,0
89,DUFGUW-QLEX-C1P1LW,2020-03-08 20:32:00,Adam King,4599196856791483,visa,Domino's Pizza,Fast Food,Iowa,Des Moines,Declined,5.399938613811105,MCC 5814,1
91,EN3COH-XURZ-UM3JFM,2020-06-03 17:30:00,Jason Mills,4194912725913804,visa,Domino's Pizza,Fast Food,Washington,Spokane,Declined,1.9032472441871309,MCC 5814,0
92,9M30MX-USZ9-P1UDIL,2022-01-02 19:06:00,Ronnie Lewis,4303730964623035,visa,Subway,Fast Food,Illinois,Chicago,Successful,7.7155739890986785,MCC 5814,0
93,563XCY-OBR6-KY1WSG,2021-01-30 16:54:00,Joseph Little,4443661618982165,visa,McDonald's,Fast Food,Ohio,Cleveland,Declined,10.122882165320869,MCC 5814,0
94,VAXDE0-G7LK-22M7E4,2021-07-14 13:58:00,Martin Mercado,4242511824103325,visa,Five Guys,Fast Food,Oklahoma,Tulsa,Successful,11.546937370323375,MCC 5814,1
96,F2VXYP-PW1D-YAFK01,2019-10-27 23:19:00,Michael Ramirez,4327664149439698,visa,Subway,Fast Food,Rhode Island,Warwick,Pending,0.6154419729274554,MCC 5814,0
97,C39E1C-BQHY-1Z0CGK,2021-05-25 22:17:00,Rodney Smith,4415225444561199,visa,Subway,Fast Food,Wisconsin,Madison,Declined,36.63307580920852,MCC 5814,0
98,MMKPDV-FQ4V-9PLULK,2019-03-27 19:25:00,Thomas Jenkins,4449087150028528,visa,Domino's Pizza,Fast Food,Texas,Houston,Declined,5.574577009781825,MCC 5814,0
99,ESGVAB-3D4D-S9QIUN,2018-10-20 07:11:00,Tristan Mcgrath,4916647789896613,visa,Domino's Pizza,Fast Food,West Virginia,Huntington,Pending,14.547756599507808,MCC 5814,0
100,C047B7-6UHL-O5X0GA,2022-01-10 22:51:00,Shane Smith,4851741278421418,visa,Subway,Fast Food,Tennessee,Knoxville,Successful,31.93250842362249,MCC 5814,0
101,6WM1WR-FUNJ-267FRN,2020-03-25 18:09:00,Derek Bartlett,4691109847382434,visa,Five Guys,Fast Food,Wyoming,Casper,Pending,1.6108706178948895,MCC 5814,0
102,QR19GZ-GXHU-X31SLQ,2019-07-21 18:12:00,Tammy Jones,4771421187414757,visa,Five Guys,Fast Food,California,San Diego,Successful,21.4656,MCC 5814,0
103,AFTHRV-MDH3-XZ7RI4,2021-12-08 17:17:00,Carmen Davis,4248428386855545,visa,Subway,Fast Food,West Virginia,Charleston,Declined,5.330557905192546,MCC 5814,0
104,J6GL7K-9BWO-Q1X68K,2021-10-25 11:06:00,Chase Jackson,4880406228013336,visa,Subway,Fast Food,New Hampshire,Manchester,Successful,11.87611599516603,MCC 5814,0
105,IROQRS-MBJT-HL68WS,2020-03-24 18:54:00,Allison Fisher,4858841994672196,visa,Chipotle,Fast Food,Oklahoma,Oklahoma City,Declined,17.14283803510737,MCC 5814,0
106,2YN0DP-LJWK-HXGUIU,2019-08-25 14:52:00,Kyle Flores,4332028269029858,visa,Domino's Pizza,Fast Food,South Carolina,Columbia,Pending,32.46066416278019,MCC 5814,1
107,DRF08S-WHB4-PU29XJ,2019-08-20 09:43:00,Christopher Hansen,4131874267353672,visa,Five Guys,Fast Food,Nebraska,Lincoln,Declined,5.680826269966711,MCC 5814,0
108,21H87K-UIU1-CP0CKY,2018-02-05 21:21:00,Bryan Mills,4030215946958998,visa,McDonald's,Fast Food,Texas,Houston,Declined,25.41971945627643,MCC 5814,0
109,I4A7K0-UKHR-S56PJT,2020-04-29 19:33:00,John Clark,4397170284672718,visa,Chipotle,Fast Food,South Carolina,North Charleston,Successful,2.161997942018004,MCC 5814,0
110,XW66M8-0OOS-6ABAHY,2018-11-19 17:12:00,Kimberly Garcia,4158388416277805,visa,Five Guys,Fast Food,New Jersey,Newark,Pending,43.32406998948886,MCC 5814,0
111,9S1MTB-OKLQ-4NPJEQ,2021-08-29 09:18:00,Amanda Peterson,4184843853196759,visa,Subway,Fast Food,Idaho,Nampa,Successful,4.976928560420728,MCC 5814,0
112,VVIZHS-I5F1-WBATFE,2021-09-17 21:25:00,Diana Mcgrath,4135466654062622,visa,Domino's Pizza,Fast Food,Pennsylvania,Philadelphia,Declined,12.845651608738052,MCC 5814,0
113,0JQ178-XBWY-TQBPXV,2020-08-21 08:21:00,James Gonzalez,4762127946607828,visa,Five Guys,Fast Food,California,San Diego,Pending,23.14,MCC 5814,0
116,3NOFLR-EHSE-1I0WCG,2020-08-19 06:04:00,Heidi Anderson,4684812535025095,visa,Subway,Fast Food,New Jersey,Newark,Successful,22.325253832444663,MCC 5814,0
117,U3CRY0-271Y-T0AM1O,2023-03-19 10:37:00,Erin Beck,4675652543663581,visa,Five Guys,Fast Food,Massachusetts,Worcester,Pending,13.042259851275226,MCC 5814,0
118,GAVWRJ-VHK4-SVWMLT,2020-08-01 06:11:00,Robert Sandoval,4044124533797997,visa,Subway,Fast Food,South Carolina,North Charleston,Successful,18.025991483232826,MCC 5814,0
119,BKQJDZ-ABBY-466VTS,2019-10-20 07:38:00,Chelsea Floyd,4909913013779325,visa,Domino's Pizza,Fast Food,Idaho,Boise City,Successful,0.0661985660999129,MCC 5814,0
120,TRUM7Y-6F1R-OCYY1H,2019-12-23 12:28:00,Teresa Washington,4748109292853825,visa,Subway,Fast Food,Indiana,Fort Wayne,Pending,7.977042216788014,MCC 5814,0
121,WGDZKR-DLZT-PUE9NC,2022-11-19 18:51:00,Adam Johnson,4299967101614040,visa,Five Guys,Fast Food,Kentucky,Lexington,Successful,1.379729214922356,MCC 5814,1
122,9S2M5N-CVAM-0ULEDD,2019-06-03 19:00:00,Ryan Hernandez,4965929705626377,visa,McDonald's,Fast Food,Ohio,Cleveland,Pending,7.688940827109652,MCC 5814,0
123,0WD7MA-SIJC-Z5OPDW,2022-07-19 19:48:00,Amy Thomas,4960294954402508,visa,Five Guys,Fast Food,New Hampshire,Nashua,Successful,37.62022601801099,MCC 5814,0
124,OSK5E0-OZRO-6NTO55,2022-05-16 20:30:00,Emily Odonnell,4166137509280022,visa,Five Guys,Fast Food,Washington,Spokane,Pending,23.76738022009296,MCC 5814,1
125,M7KYKD-8NQF-X6E1WN,2020-12-13 21:34:00,Brian Martin,4560644807785513,visa,McDonald's,Fast Food,South Dakota,Sioux Falls,Successful,2.222291569036547,MCC 5814,0
126,VUTU3Q-CXF0-07V5TL,2019-01-12 15:01:00,Susan Richard,4670281410332552,visa,Five Guys,Fast Food,Connecticut,Bridgeport,Successful,11.440159652591724,MCC 5814,0
127,E7WN1N-950Q-CVOQO8,2020-09-01 19:11:00,Anthony Gilbert,4578827085524965,visa,Five Guys,Fast Food,Kansas,Wichita,Pending,9.483505648891576,MCC 5814,0
128,L8FWQV-VCLE-3ABQVF,2021-08-19 06:10:00,Jacob Huffman,4788560516439372,visa,McDonald's,Fast Food,Illinois,Chicago,Pending,39.27423977224933,MCC 5814,0
129,WMWYR6-VYOZ-PI3S69,2020-02-09 10:24:00,Brandon Williams,4170629499178939,visa,Chipotle,Fast Food,Vermont,Essex,Successful,3.15902911996758,MCC 5814,0
130,LN04GJ-IDKC-JU66PS,2021-03-23 05:19:00,Erin Huffman,4581495340168526,visa,Subway,Fast Food,Hawaii,Honolulu,Successful,7.694014110727276,MCC 5814,0
131,L3WPVQ-AR50-PZJIJH,2023-02-07 13:08:00,Heather Guerra MD,4446677976162007,visa,McDonald's,Fast Food,Louisiana,Baton Rouge,Pending,2.751785134712847,MCC 5814,0
132,5AE7PZ-QLFG-9K1EJZ,2021-01-29 12:12:00,Michelle Davis,4880255712838660,visa,McDonald's,Fast Food,Washington,Seattle,Successful,23.158108998630613,MCC 5814,0
133,PAOV7Y-21X4-QZGDR5,2018-09-22 09:51:00,Samantha Gomez,4173974670303436,visa,Chipotle,Fast Food,Idaho,Nampa,Successful,0.2647942643996517,MCC 5814,1
134,3BJOHS-LMRC-LQ8LQ5,2022-12-06 06:23:00,Jessica Villarreal,4101666541619829,visa,Domino's Pizza,Fast Food,Pennsylvania,Philadelphia,Declined,6.145556596641813,MCC 5814,0
135,XVD0UX-7NTZ-9NWL0I,2018-11-09 10:32:00,Eddie Meyer,4034572582179362,visa,Chipotle,Fast Food,Maryland,Columbia,Declined,10.795409248047168,MCC 5814,0
136,01T2WG-SVOL-THRDSY,2019-02-27 20:23:00,Leslie Durham,4211238135337973,visa,Five Guys,Fast Food,Rhode Island,Warwick,Pending,20.99256347677781,MCC 5814,0
137,2IODS3-2JOT-H73UND,2018-10-04 13:08:00,Todd Smith Jr.,4408119717227761,visa,Domino's Pizza,Fast Food,Utah,Salt Lake City,Successful,20.06952828065987,MCC 5814,0
138,ZWTXGF-VCNS-QDQCAF,2022-11-18 18:17:00,Stephen Greene,4640763379693964,visa,McDonald's,Fast Food,Kentucky,Louisville,Pending,8.97719917761169,MCC 5814,0
139,KHFHOG-NTYC-VU9FUY,2023-08-06 17:15:00,Sabrina Phillips,4624755493446998,visa,Subway,Fast Food,Nebraska,Lincoln,Declined,15.624047500617822,MCC 5814,0
140,WMIJ71-YVJJ-3X8WR6,2020-09-15 10:40:00,Steven Johnson,4261078842066807,visa,Subway,Fast Food,Delaware,Wilmington,Pending,3.1233880125691265,MCC 5814,1
141,BY3MWZ-JQ3E-PH7BKR,2021-10-31 21:40:00,Matthew Delacruz,4935135877600011,visa,Subway,Fast Food,Kansas,Overland Park,Successful,17.51346463757922,MCC 5814,0
142,MHMUXL-6WTT-I5CBXP,2019-04-30 20:34:00,Mark Dean,4191051184722555,visa,Chipotle,Fast Food,Nevada,Henderson,Pending,19.18990661045639,MCC 5814,1
143,475WFR-X0DX-BTXBVK,2018-06-03 22:51:00,Andrew Rivers,4641697385117544,visa,McDonald's,Fast Food,Mississippi,Gulfport,Successful,2.941369875075515,MCC 5814,0
144,YKP67L-3T8L-82SCW3,2022-05-22 22:49:00,Beverly Marquez,4094535018726509,visa,Five Guys,Fast Food,Kentucky,Louisville,Pending,19.45955749877504,MCC 5814,0
145,QHG9N6-Y1Y8-CBI5K2,2022-09-29 18:29:00,Dana Duran,4584601157415465,visa,Five Guys,Fast Food,Texas,San Antonio,Pending,56.915200290722005,MCC 5814,0
146,PIF80O-K8SZ-F3GPKW,2021-09-29 06:35:00,Katherine Jennings,4400978629902136,visa,Domino's Pizza,Fast Food,Kentucky,Louisville,Declined,6.93769934909343,MCC 5814,0
147,W47G43-PAFX-41UZVF,2022-09-04 11:34:00,Keith Murray,4391643904565708,visa,Domino's Pizza,Fast Food,South Dakota,Sioux Falls,Pending,6.947591390012729,MCC 5814,0
148,CXDQIM-RVWI-F6BT6N,2023-03-11 21:07:00,Donna Wilson,4349052046957265,visa,Chipotle,Fast Food,Massachusetts,Worcester,Pending,12.865322899446738,MCC 5814,0
149,EJJE5R-YU3F-1FBF0N,2020-12-04 21:26:00,Jenna Smith,4631421072077800,visa,Chipotle,Fast Food,Georgia,Atlanta,Pending,14.275280076124716,MCC 5814,0
150,OO54F3-Q09Y-0OJRPM,2018-06-06 07:59:00,Jason West,4053808156127890,visa,Subway,Fast Food,Idaho,Nampa,Successful,5.494943913328437,MCC 5814,0
151,I1K499-0U9D-04JCZ9,2019-08-27 22:49:00,Joel Mosley,4759041717559834,visa,Five Guys,Fast Food,North Dakota,Fargo,Declined,21.348641815851085,MCC 5814,0
